التاريخ,إجمالي طلبات الزحف,إجمالي حجم التنزيل (بايت),متوسط وقت الاستجابة (ملّي ثانية)
2025-08-29,10,153414,42
2025-08-30,157,1999499,73
2025-08-31,7,178265,88
2025-09-01,0,0,0
2025-09-02,2,46205,74
2025-09-03,3,47636,132
2025-09-04,9,158185,44
2025-09-05,10,214159,54
2025-09-06,0,0,0
2025-09-07,4,46604,24
2025-09-08,2,46207,77
2025-09-09,0,0,0
2025-09-10,0,0,0
2025-09-11,6,155568,84
2025-09-12,25,470622,63
2025-09-13,9,156060,58
2025-09-14,5,98822,57
2025-09-15,10,228805,55
2025-09-16,3,59370,66
2025-09-17,9,112393,60
2025-09-18,14,222417,59
2025-09-19,4,55635,86
2025-09-20,0,0,0
2025-09-21,0,0,0