words	visible_chars	semrush_ratio	url	local_file
175	1109	0.03	https://brightai.site/frontend/pages/ai-workflows/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-workflows/index.html
188	1164	0.02	https://brightai.site/frontend/pages/try/text-analysis/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/text-analysis/index.html
204	1233	0.02	https://brightai.site/frontend/pages/try/data-analyzer/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/data-analyzer/index.html
245	1617	0.04	https://brightai.site/frontend/pages/ai-bots/BrightRecruiter/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightRecruiter/index.html
253	1530	0.04	https://brightai.site/docs/contact	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/contact.html
254	1665	0.04	https://brightai.site/frontend/pages/ai-bots/BrightSales/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightSales/index.html
254	1704	0.04	https://brightai.site/frontend/pages/ai-bots/BrightProject/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightProject/index.html
260	1705	0.04	https://brightai.site/frontend/pages/ai-bots/BrightMath/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightMath/index.html
264	1560	0.04	https://brightai.site/docs/contact-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/contact-en.html
267	1771	0.04	https://brightai.site/frontend/pages/ai-bots/BrightSupport/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightSupport/index.html
279	1765	0.04	https://brightai.site/frontend/pages/privacy-cookies/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/privacy-cookies/index.html
320	2067	0.05	https://brightai.site/frontend/pages/blogger/transport-logistics-solutions.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/transport-logistics-solutions.html
321	2034	0.05	https://brightai.site/frontend/pages/blogger/smart-crm-system.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/smart-crm-system.html
321	2037	0.04	https://brightai.site/docs/ai-bots	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/ai-bots.html
326	2104	0.05	https://brightai.site/frontend/pages/blogger/smart-document-processing.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/smart-document-processing.html
329	2100	0.05	https://brightai.site/frontend/pages/blogger/smart-inventory-management.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/smart-inventory-management.html
332	2233	0.04	https://brightai.site/docs	/Users/yzydalshmry/Desktop/BRIGHTAI/docs.html
341	2162	0.05	https://brightai.site/docs/smart-automation-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/smart-automation-en.html
349	2127	0.05	https://brightai.site/frontend/pages/try/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/index.html
351	2235	0.05	https://brightai.site/docs/data-analysis	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/data-analysis.html
352	2237	0.05	https://brightai.site/docs/ai-bots-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/ai-bots-en.html
362	2307	0.05	https://brightai.site/docs/data-analysis-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/data-analysis-en.html
364	2374	0.06	https://brightai.site/docs/solutions-ocr	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-ocr.html
365	2283	0.05	https://brightai.site/docs/consultation-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/consultation-en.html
369	2302	0.05	https://brightai.site/docs/smart-automation	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/smart-automation.html
372	2340	0.02	https://brightai.site/frontend/pages/job.MAISco/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/job.MAISco/index.html
372	2361	0.05	https://brightai.site/docs/consultation	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/consultation.html
374	2495	0.06	https://brightai.site/docs/solutions-ocr-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-ocr-en.html
399	2434	0.05	https://brightai.site/docs/ai-agent-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/ai-agent-en.html
406	2621	0.05	https://brightai.site/frontend/pages/sectors/logistics.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/logistics.html
410	2688	0.05	https://brightai.site/frontend/pages/sectors/ecommerce.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/ecommerce.html
419	2719	0.02	https://brightai.site/frontend/pages/ai-scolecs/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-scolecs/index.html
420	2706	0.05	https://brightai.site/frontend/pages/sectors/manufacturing.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/manufacturing.html
424	2754	0.06	https://brightai.site/frontend/pages/sectors/energy.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/energy.html
425	2677	0.05	https://brightai.site/docs/ai-agent	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/ai-agent.html
469	3054	0.06	https://brightai.site/frontend/pages/sectors/finance.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/finance.html
473	3050	0.04	https://brightai.site/frontend/pages/try/data-quality/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/data-quality/index.html
475	2921	0.06	https://brightai.site/docs/solutions-retail	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-retail.html
487	3097	0.06	https://brightai.site/frontend/pages/sectors/healthcare.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/sectors/healthcare.html
493	3189	0.06	https://brightai.site/docs/solutions-logistics-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-logistics-en.html
497	3306	0.06	https://brightai.site/docs/solutions-supply-chain-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-supply-chain-en.html
500	3181	0.06	https://brightai.site/docs/solutions-hr-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-hr-en.html
512	3173	0.05	https://brightai.site/docs/services-overview	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/services-overview.html
512	3260	0.06	https://brightai.site/docs/solutions-supply-chain	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-supply-chain.html
513	3230	0.06	https://brightai.site/docs/solutions-retail-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-retail-en.html
515	3223	0.06	https://brightai.site/docs/solutions-interview	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-interview.html
515	3234	0.06	https://brightai.site/docs/solutions-hr	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-hr.html
522	3383	0.07	https://brightai.site/docs/solutions-healthcare	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-healthcare.html
522	3390	0.06	https://brightai.site/docs/solutions-interview-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-interview-en.html
531	3551	0.07	https://brightai.site/docs/solutions-healthcare-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-healthcare-en.html
533	3363	0.06	https://brightai.site/docs/solutions-logistics	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-logistics.html
535	3391	0.07	https://brightai.site/frontend/pages/blogger/atou.doc.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/atou.doc.html
541	3350	0.07	https://brightai.site/frontend/pages/blogger/saudi-hospitality-dynamic-pricing.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-hospitality-dynamic-pricing.html
543	3474	0.06	https://brightai.site/docs/solutions-crm-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-crm-en.html
543	3564	0.07	https://brightai.site/docs/solutions-finance-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-finance-en.html
547	3171	0.06	https://brightai.site/docs/services-overview-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/services-overview-en.html
549	3413	0.07	https://brightai.site/frontend/pages/blogger/saudi-edtech-personalized-learning.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-edtech-personalized-learning.html
551	3690	0.07	https://brightai.site/tools/	/Users/yzydalshmry/Desktop/BRIGHTAI/tools/index.html
552	3434	0.06	https://brightai.site/docs/solutions-crm	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-crm.html
553	3482	0.07	https://brightai.site/docs/privacy-policy-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/privacy-policy-en.html
554	3617	0.07	https://brightai.site/docs/privacy-policy	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/privacy-policy.html
561	3531	0.07	https://brightai.site/frontend/pages/blogger/commerce-ministry-chatbot.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/commerce-ministry-chatbot.html
575	3695	0.07	https://brightai.site/frontend/pages/blogger/saudi-factory-ai-productivity.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-factory-ai-productivity.html
579	3693	0.07	https://brightai.site/docs/faq	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/faq.html
587	3593	0.06	https://brightai.site/docs/solutions-bi	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-bi.html
587	3930	0.09	https://brightai.site/what-is-ai/	/Users/yzydalshmry/Desktop/BRIGHTAI/what-is-ai/index.html
598	3833	0.07	https://brightai.site/docs/solutions-finance	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-finance.html
598	3861	0.08	https://brightai.site/frontend/pages/blog/data-analytics/power-bi-saudi-guide.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blog/data-analytics/power-bi-saudi-guide.html
602	3824	0.08	https://brightai.site/frontend/pages/blogger/saudi-energy-predictive-maintenance.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-energy-predictive-maintenance.html
604	3785	0.07	https://brightai.site/docs/terms-and-conditions	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/terms-and-conditions.html
608	3941	0.07	https://brightai.site/frontend/pages/blogger/digital-health-smart-archive.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/digital-health-smart-archive.html
617	4007	0.02	https://brightai.site/frontend/pages/interview/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/interview/index.html
618	3953	0.08	https://brightai.site/frontend/pages/blogger/private-hospital-scheduling-optimization.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/private-hospital-scheduling-optimization.html
632	3875	0.07	https://brightai.site/docs/solutions-bi-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/solutions-bi-en.html
642	4091	0.08	https://brightai.site/frontend/pages/blogger/saudi-bank-fraud-detection.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-bank-fraud-detection.html
649	4250	0.09	https://brightai.site/frontend/pages/blogger/ai-transformation.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/ai-transformation.html
651	4326	0.09	https://brightai.site/frontend/pages/blogger/مقال-تحليل.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/مقال-تحليل.html
659	4206	0.09	https://brightai.site/frontend/pages/blogger/تحليل-البيانات.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/تحليل-البيانات.html
662	4140	0.08	https://brightai.site/frontend/pages/blogger/saudi-dates-quality-ai.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-dates-quality-ai.html
664	4292	0.08	https://brightai.site/docs/terms-and-conditions-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/terms-and-conditions-en.html
668	4411	0.09	https://brightai.site/frontend/pages/blogger/ai-agent.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/ai-agent.html
679	4051	0.08	https://brightai.site/docs/faq-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/faq-en.html
679	4377	0.08	https://brightai.site/frontend/pages/blogger/saudi-tourism-ai-guide.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-tourism-ai-guide.html
697	4560	0.09	https://brightai.site/frontend/pages/blogger/saudi-mining-ai-exploration.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-mining-ai-exploration.html
702	4351	0.08	https://brightai.site/frontend/pages/demo/ocr-demo/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/demo/ocr-demo/index.html
702	4586	0.09	https://brightai.site/frontend/pages/blogger/ai-generative-content-industry-saudi-arabia.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/ai-generative-content-industry-saudi-arabia.html
703	4483	0.08	https://brightai.site/frontend/pages/blogger/saudi-sports-analytics-ai.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-sports-analytics-ai.html
705	4462	0.09	https://brightai.site/frontend/pages/blogger/ksu-adaptive-learning.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/ksu-adaptive-learning.html
705	4472	0.08	https://brightai.site/contact/	/Users/yzydalshmry/Desktop/BRIGHTAI/contact/index.html
709	4447	0.08	https://brightai.site/frontend/pages/blogger/saudi-petrochemical-ai-safety.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-petrochemical-ai-safety.html
717	4756	0.09	https://brightai.site/frontend/pages/blogger/smart-automation-benefits.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/smart-automation-benefits.html
720	4624	0.09	https://brightai.site/frontend/pages/blogger/Generative-artificial-intelligence.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/Generative-artificial-intelligence.html
722	4749	0.10	https://brightai.site/frontend/pages/blogger/الذكاء-الاصطناعي-و-التسويق.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/الذكاء-الاصطناعي-و-التسويق.html
724	4650	0.09	https://brightai.site/frontend/pages/blogger/saudi-manufacturing-predictive-maintenance.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-manufacturing-predictive-maintenance.html
730	4852	0.10	https://brightai.site/frontend/pages/blogger/process-automation.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/process-automation.html
732	4561	0.09	https://brightai.site/frontend/pages/demo/resources/report-ai-saudi-2026/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/demo/resources/report-ai-saudi-2026/index.html
735	4769	0.10	https://brightai.site/frontend/pages/blogger/intelligent-data-analysis.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/intelligent-data-analysis.html
736	4482	0.10	https://brightai.site/frontend/pages/demo/pricing/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/demo/pricing/index.html
736	4578	0.10	https://brightai.site/frontend/pages/blogger/تعلم-الآلة-و-الأعمال.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/تعلم-الآلة-و-الأعمال.html
742	4920	0.09	https://brightai.site/frontend/pages/blogger/production-line.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/production-line.html
755	4836	0.09	https://brightai.site/frontend/pages/blogger/saudi-real-estate-ai-valuation.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-real-estate-ai-valuation.html
757	4824	0.09	https://brightai.site/frontend/pages/blogger/saudi-ecommerce-ai-growth.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-ecommerce-ai-growth.html
760	4789	0.08	https://brightai.site/machine-learning/	/Users/yzydalshmry/Desktop/BRIGHTAI/machine-learning/index.html
776	4985	0.08	https://brightai.site/frontend/pages/blogger/business-intelligence-saudi.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/business-intelligence-saudi.html
779	4961	0.09	https://brightai.site/frontend/pages/blogger/saudi-logistics-route-optimization.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-logistics-route-optimization.html
798	4990	0.09	https://brightai.site/frontend/pages/blogger/saudi-insurance-claims-ai.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-insurance-claims-ai.html
800	5034	0.09	https://brightai.site/frontend/pages/blogger/saudi-agritech-smart-farming.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/saudi-agritech-smart-farming.html
886	5833	0.09	https://brightai.site/frontend/pages/blogger/digital-banking-saudi.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/digital-banking-saudi.html
